Pais,Equipe,PastaColecao,Arquivo,CaminhoRelativo,Extensao,TamanhoBytes
brasil,atletico,atletico_m.g._(1).jpg,atletico_m.g._(1).jpg,camisas/brasil/atletico/atletico_m.g._(1).jpg,.jpg,30452
brasil,atletico,atletico_m.g._1980_chicao_camp.brasileiro.jpg,atletico_m.g._1980_chicao_camp.brasileiro.jpg,camisas/brasil/atletico/atletico_m.g._1980_chicao_camp.brasileiro.jpg,.jpg,30010
brasil,atletico,atletico_m.g._1980_chicao_camp.brasileiro_(1).jpg,atletico_m.g._1980_chicao_camp.brasileiro_(1).jpg,camisas/brasil/atletico/atletico_m.g._1980_chicao_camp.brasileiro_(1).jpg,.jpg,31003
brasil,atletico,atletico_m.g._2008_100_anos_comemorativa.jpg,atletico_m.g._2008_100_anos_comemorativa.jpg,camisas/brasil/atletico/atletico_m.g._2008_100_anos_comemorativa.jpg,.jpg,25765
brasil,atletico,atletico_m.g._2008_100_anos_comemorativa_(1).jpg,atletico_m.g._2008_100_anos_comemorativa_(1).jpg,camisas/brasil/atletico/atletico_m.g._2008_100_anos_comemorativa_(1).jpg,.jpg,26516
brasil,atletico,atletico_m.g._2010_camp._mineiro_2010.JPG,atletico_m.g._2010_camp._mineiro_2010.JPG,camisas/brasil/atletico/atletico_m.g._2010_camp._mineiro_2010.JPG,.jpg,55831
brasil,atletico,atletico_m.g._2010_camp._mineiro_2010_(1).JPG,atletico_m.g._2010_camp._mineiro_2010_(1).JPG,camisas/brasil/atletico/atletico_m.g._2010_camp._mineiro_2010_(1).JPG,.jpg,55033
brasil,atletico,atletico_mg.jpg,atletico_mg.jpg,camisas/brasil/atletico/atletico_mg.jpg,.jpg,30257
brasil,atletico,atletico_mg_(1).jpg,atletico_mg_(1).jpg,camisas/brasil/atletico/atletico_mg_(1).jpg,.jpg,27037
brasil,atletico,atletico_mg_(10).jpg,atletico_mg_(10).jpg,camisas/brasil/atletico/atletico_mg_(10).jpg,.jpg,24330
brasil,atletico,atletico_mg_(11).jpg,atletico_mg_(11).jpg,camisas/brasil/atletico/atletico_mg_(11).jpg,.jpg,28787
brasil,atletico,atletico_mg_(2).jpg,atletico_mg_(2).jpg,camisas/brasil/atletico/atletico_mg_(2).jpg,.jpg,27731
brasil,atletico,atletico_mg_(3).jpg,atletico_mg_(3).jpg,camisas/brasil/atletico/atletico_mg_(3).jpg,.jpg,37662
brasil,atletico,atletico_mg_(4).jpg,atletico_mg_(4).jpg,camisas/brasil/atletico/atletico_mg_(4).jpg,.jpg,36320
brasil,atletico,atletico_mg_(5).jpg,atletico_mg_(5).jpg,camisas/brasil/atletico/atletico_mg_(5).jpg,.jpg,35100
brasil,atletico,atletico_mg_(6).jpg,atletico_mg_(6).jpg,camisas/brasil/atletico/atletico_mg_(6).jpg,.jpg,86573
brasil,atletico,atletico_mg_(7).jpg,atletico_mg_(7).jpg,camisas/brasil/atletico/atletico_mg_(7).jpg,.jpg,33503
brasil,atletico,atletico_mg_(8).jpg,atletico_mg_(8).jpg,camisas/brasil/atletico/atletico_mg_(8).jpg,.jpg,35424
brasil,atletico,atletico_mg_(9).jpg,atletico_mg_(9).jpg,camisas/brasil/atletico/atletico_mg_(9).jpg,.jpg,24892
brasil,atletico,atletico_nº8_1982_f.jpg,atletico_nº8_1982_f.jpg,camisas/brasil/atletico/atletico_nº8_1982_f.jpg,.jpg,10165
brasil,atletico,atletico_nº8_1982_t.jpg,atletico_nº8_1982_t.jpg,camisas/brasil/atletico/atletico_nº8_1982_t.jpg,.jpg,10517
brasil,atletico,atletico_nº8_1983_f.jpg,atletico_nº8_1983_f.jpg,camisas/brasil/atletico/atletico_nº8_1983_f.jpg,.jpg,8433
brasil,atletico,atletico_nº8_1983_t.jpg,atletico_nº8_1983_t.jpg,camisas/brasil/atletico/atletico_nº8_1983_t.jpg,.jpg,11098
brasil,atletico,atletico_nº9_1974_f.jpg,atletico_nº9_1974_f.jpg,camisas/brasil/atletico/atletico_nº9_1974_f.jpg,.jpg,13959
brasil,atletico,atletico_nº9_1974_t.jpg,atletico_nº9_1974_t.jpg,camisas/brasil/atletico/atletico_nº9_1974_t.jpg,.jpg,15561
