CaminhoRelativo,Motivo,TamanhoBytes
webalizer/ctry_usage_200510.png,technical-root,3644
webalizer/ctry_usage_200511.png,technical-root,3392
webalizer/ctry_usage_200512.png,technical-root,3593
webalizer/ctry_usage_200601.png,technical-root,3675
webalizer/ctry_usage_200602.png,technical-root,3597
webalizer/ctry_usage_200603.png,technical-root,3710
webalizer/ctry_usage_200604.png,technical-root,3825
webalizer/ctry_usage_200605.png,technical-root,4088
webalizer/ctry_usage_200606.png,technical-root,3415
webalizer/ctry_usage_200607.png,technical-root,3580
webalizer/ctry_usage_200608.png,technical-root,3740
webalizer/ctry_usage_200609.png,technical-root,3887
webalizer/ctry_usage_200610.png,technical-root,3208
webalizer/ctry_usage_200611.png,technical-root,3699
webalizer/ctry_usage_200612.png,technical-root,3760
webalizer/ctry_usage_200701.png,technical-root,3719
webalizer/ctry_usage_200702.png,technical-root,3711
webalizer/ctry_usage_200703.png,technical-root,3618
webalizer/ctry_usage_200704.png,technical-root,3905
webalizer/ctry_usage_200705.png,technical-root,4128
webalizer/ctry_usage_200706.png,technical-root,3754
webalizer/ctry_usage_200707.png,technical-root,3952
webalizer/ctry_usage_200708.png,technical-root,4188
webalizer/ctry_usage_200709.png,technical-root,3874
webalizer/ctry_usage_200710.png,technical-root,4315
webalizer/ctry_usage_200711.png,technical-root,3424
webalizer/ctry_usage_200712.png,technical-root,3890
webalizer/ctry_usage_200801.png,technical-root,3791
webalizer/ctry_usage_200802.png,technical-root,3674
webalizer/ctry_usage_200803.png,technical-root,4120
webalizer/ctry_usage_200804.png,technical-root,3880
webalizer/ctry_usage_200805.png,technical-root,3994
webalizer/ctry_usage_200806.png,technical-root,4500
webalizer/ctry_usage_200807.png,technical-root,3835
webalizer/ctry_usage_200808.png,technical-root,4065
webalizer/ctry_usage_200809.png,technical-root,3792
webalizer/ctry_usage_200810.png,technical-root,3580
webalizer/ctry_usage_200811.png,technical-root,3769
webalizer/ctry_usage_200812.png,technical-root,4221
webalizer/ctry_usage_200901.png,technical-root,3678
webalizer/ctry_usage_200902.png,technical-root,3770
webalizer/ctry_usage_200903.png,technical-root,4162
webalizer/ctry_usage_200904.png,technical-root,3441
webalizer/ctry_usage_200905.png,technical-root,4447
webalizer/ctry_usage_200906.png,technical-root,4651
webalizer/ctry_usage_200907.png,technical-root,4108
webalizer/ctry_usage_200908.png,technical-root,4675
