item_id,identity,team_path,collection_before,collection_target,stable_key,item_slug,public_slug,route_before,route_target_provisional,reason,authorization_class,candidate_stable_key,candidate_public_slug,et029d_classification,et029d_decision
45778,paises/italia/roma/8384.htm#editorial:hx001:table-118:description-table-127,paises/italia/roma,camisas/italia/torino/fot_gio,camisas/italia/roma/03_20,item:da7c899b4be0b4df63a03cfa50e8bb3313b0b13c2503fcd273eb264edf0f5dc2,1983-1984,1983-1984-503430,/items/italia/teams/roma/collections/fot-gio/1983-1984-503430,/items/italia/teams/roma/collections/03-20/1983-1984-503430,unique record references,ET028_EXCLUSIVE,item:061a10bb4ef7041f291816e6faf37ffc09bf9eae0df2e2a621628778a708e3a9,1983-1984-503430,DATA_MODEL_ANOMALY,EXCLUDED_FOT_GIO
45779,paises/italia/roma/8384.htm#editorial:hx001:table-143:description-table-152,paises/italia/roma,camisas/italia/torino/fot_gio,camisas/italia/roma/04_21,item:910a7482595d595d4980305881bc992614a1767c57bbb564e86232a24758f36f,1983-1984,1983-1984-5c36f0,/items/italia/teams/roma/collections/fot-gio/1983-1984-5c36f0,/items/italia/teams/roma/collections/04-21/1983-1984-5c36f0,unique record references,ET028_EXCLUSIVE,item:545a06f55e8a16a6f1c5a79a41c0e0ebdcc29f82b354240c13659b7dc356b451,1983-1984-5c36f0,DATA_MODEL_ANOMALY,EXCLUDED_FOT_GIO
45780,paises/italia/roma/8384.htm#editorial:hx001:table-163:description-table-172,paises/italia/roma,camisas/italia/torino/fot_gio,camisas/italia/roma/09_23,item:ff9b659c0d134b71226eb836e8455c7d989e4caaa1d6c2c5728b69fe279fc808,1983-1984,1983-1984-17e9b8,/items/italia/teams/roma/collections/fot-gio/1983-1984-17e9b8,/items/italia/teams/roma/collections/09-23/1983-1984-17e9b8,unique record references,ET028_EXCLUSIVE,item:167f9a30410732848f58b006d24650bbb29374393acf0203a535f200d0df90b0,1983-1984-17e9b8,DATA_MODEL_ANOMALY,EXCLUDED_FOT_GIO
45781,paises/italia/roma/8384.htm#editorial:hx001:table-183:description-table-192,paises/italia/roma,camisas/italia/torino/fot_gio,camisas/italia/roma/02_25,item:0917e0e61449ef0dc8c4fcb5e465823b2d8ceade231b1132eee193c6bb73c611,1983-1984,1983-1984-544777,/items/italia/teams/roma/collections/fot-gio/1983-1984-544777,/items/italia/teams/roma/collections/02-25/1983-1984-544777,unique record references,ET028_EXCLUSIVE,item:c7dc4b2ce5ce2cd83aee70cd5edaa299e3ae222962fad66f09d852e3215db302,1983-1984-544777,DATA_MODEL_ANOMALY,EXCLUDED_FOT_GIO
45783,paises/italia/roma/8384.htm#editorial:hx001:table-228:description-table-237,paises/italia/roma,camisas/italia/torino/fot_gio,camisas/italia/roma/02_25,item:83ea7a177fc9a8a8e157e2a3f83489454d6273686bda018b0460864e7eb4f9e9,1983-1984,1983-1984-bcb7ab,/items/italia/teams/roma/collections/fot-gio/1983-1984-bcb7ab,/items/italia/teams/roma/collections/02-25/1983-1984-bcb7ab,unique record references,ET028_EXCLUSIVE,item:4b09e9c34ac8f15b98387902eb16733d84a93d424e336bfee6a772b68d7ce42e,1983-1984-bcb7ab,DATA_MODEL_ANOMALY,EXCLUDED_FOT_GIO
