item_id,identity,team_path,collection_before,collection_target,stable_key,item_slug,public_slug,route_before,route_target_provisional,reason,authorization_class
42524,paises/brasil/atletico/2014.htm#editorial:hx001:table-143:description-table-152,paises/brasil/atletico,camisas/brasil/atletico/04_14,camisas/brasil/atletico/03_16,item:5e0023838683c3f1f71d4d8ff90be91b456f37df37ee8984eda325b4569550dd,2014,2014-b263b8,/items/brasil/teams/atletico/collections/04-14/2014-b263b8,/items/brasil/teams/atletico/collections/03-16/2014-b263b8,unique record references,ET028_EXCLUSIVE
42525,paises/brasil/atletico/2014.htm#editorial:hx001:table-165:description-table-174,paises/brasil/atletico,camisas/brasil/atletico/04_14,camisas/brasil/atletico/06_14,item:e6eef1347ccf0dcc1f3b3ae8f4c69e70b650c7ad3bc2d00dfa81519d8c18eaf9,2014,2014-79a42a,/items/brasil/teams/atletico/collections/04-14/2014-79a42a,/items/brasil/teams/atletico/collections/06-14/2014-79a42a,unique record references,ET028_EXCLUSIVE
42526,paises/brasil/atletico/2014.htm#editorial:hx001:table-187:description-table-196,paises/brasil/atletico,camisas/brasil/atletico/04_14,camisas/brasil/atletico/08_14,item:419175ba00b4dae16a2fa4fa942e7cbb54980da3cf8b3bdeeeb8b4ef99fcc6c9,2014,2014-bae201,/items/brasil/teams/atletico/collections/04-14/2014-bae201,/items/brasil/teams/atletico/collections/08-14/2014-bae201,unique record references,ET028_EXCLUSIVE
42528,paises/brasil/atletico/2014.htm#editorial:hx001:table-231:description-table-238,paises/brasil/atletico,camisas/brasil/atletico/04_14,camisas/brasil/atletico/06_14,item:ea3f3bfcc4a34a6077f1aca1807d3464fba75552f8c3f10bc0d03e7818d7d893,2014,2014-5bfc83,/items/brasil/teams/atletico/collections/04-14/2014-5bfc83,/items/brasil/teams/atletico/collections/06-14/2014-5bfc83,unique record references,ET028_EXCLUSIVE
42530,paises/brasil/atletico/2014.htm#editorial:hx001:table-271:description-table-280,paises/brasil/atletico,camisas/brasil/atletico/04_14,camisas/brasil/atletico/03_16,item:084844580cfe4bf7269af7508ad4f81d19b2071c9d8a9189835a8563daf65315,2014,2014-2a2df2,/items/brasil/teams/atletico/collections/04-14/2014-2a2df2,/items/brasil/teams/atletico/collections/03-16/2014-2a2df2,unique record references,ET028_EXCLUSIVE
42531,paises/brasil/atletico/2014.htm#editorial:hx001:table-293:description-table-302,paises/brasil/atletico,camisas/brasil/atletico/04_14,camisas/brasil/atletico/03_16,item:46f7678a7f0535918c8d721a85b5e75aac37ec2f56a4af0634ed8a877d934942,2014,2014-25f2c4,/items/brasil/teams/atletico/collections/04-14/2014-25f2c4,/items/brasil/teams/atletico/collections/03-16/2014-25f2c4,unique record references,ET028_EXCLUSIVE
42532,paises/brasil/atletico/2014.htm#editorial:hx001:table-315:description-table-324,paises/brasil/atletico,camisas/brasil/atletico/04_14,camisas/brasil/atletico/08_14_2,item:73b586329febee3a7673da20af8deaae0f331204859a8b25bc82f409ba5cc43d,2014,2014-3b511e,/items/brasil/teams/atletico/collections/04-14/2014-3b511e,/items/brasil/teams/atletico/collections/08-14-2/2014-3b511e,unique record references,ET028_EXCLUSIVE
42537,paises/brasil/atletico/2015.htm#editorial:hx001:table-107:description-table-116,paises/brasil/atletico,camisas/brasil/atletico/04_15,camisas/brasil/atletico/03_16,item:22812046c7a3427411ef29210447d4b5cdd904110dacdee79793398c4fa923d2,2015,2015-993a9a,/items/brasil/teams/atletico/collections/04-15/2015-993a9a,/items/brasil/teams/atletico/collections/03-16/2015-993a9a,unique record references,ET028_EXCLUSIVE
42538,paises/brasil/atletico/2015.htm#editorial:hx001:table-132:description-table-141,paises/brasil/atletico,camisas/brasil/atletico/04_15,camisas/brasil/atletico/03_16,item:8729ca6d722505b079b1d5c91c552470b5f32049b73a465f43ca407a3617ba6c,2015,2015-d607e7,/items/brasil/teams/atletico/collections/04-15/2015-d607e7,/items/brasil/teams/atletico/collections/03-16/2015-d607e7,unique record references,ET028_EXCLUSIVE
42539,paises/brasil/atletico/2015.htm#editorial:hx001:table-158:description-table-167,paises/brasil/atletico,camisas/brasil/atletico/04_15,camisas/brasil/atletico/03_16,item:d2918dece17c472de8e32fc7d73f101a8e87cc51578497f0ea05a967abc919a2,2015,2015-25bda4,/items/brasil/teams/atletico/collections/04-15/2015-25bda4,/items/brasil/teams/atletico/collections/03-16/2015-25bda4,unique record references,ET028_EXCLUSIVE
