collection,before,after,item_count
camisas/italia/cagliari/06_23,0,1,1
camisas/italia/cagliari/07_17,0,18,18
camisas/italia/cagliari/07_25,0,7,7
camisas/italia/cagliari/08_22,0,1,1
camisas/italia/cagliari/09_24,0,4,4
camisas/italia/cagliari/09_24_2,0,1,1
camisas/italia/chievo/03_14,0,2,2
camisas/italia/chievo/03_19_2,0,2,2
camisas/italia/chievo/04_20,0,1,1
camisas/italia/chievo/06_14,0,5,5
camisas/italia/chievo/06_14_2,0,1,1
camisas/italia/chievo/06_18,0,1,1
camisas/italia/chievo/06_18_2,0,5,5
camisas/italia/chievo/08_17,0,2,2
camisas/italia/chievo/09_18,0,1,1
camisas/italia/chievo/10_19,0,1,1
camisas/italia/fiorentina/01_26,0,1,1
camisas/italia/fiorentina/02_17,0,3,3
camisas/italia/fiorentina/02_25,0,1,1
camisas/italia/fiorentina/04_16,0,2,2
camisas/italia/fiorentina/04_20,0,1,1
camisas/italia/fiorentina/06_14,0,1,1
camisas/italia/fiorentina/07_17,0,5,5
camisas/italia/fiorentina/08_18,0,2,2
camisas/italia/fiorentina/09_18,0,1,1
camisas/italia/fiorentina/09_23,0,1,1
camisas/italia/fiorentina/09_24,0,1,1
camisas/italia/genoa/07_18,0,1,1
camisas/italia/genoa/07_22,0,1,1
camisas/italia/genoa/09_24,0,1,1
camisas/italia/inter/07_25,0,1,1
camisas/italia/inter/11_23,0,1,1
camisas/italia/italy/01_14,0,1,1
camisas/italia/italy/03_19,0,4,4
camisas/italia/italy/03_19_2,0,2,2
camisas/italia/italy/04_14,0,1,1
camisas/italia/italy/04_20,0,2,2
camisas/italia/italy/07_18,0,2,2
camisas/italia/italy/08_17,0,2,2
camisas/italia/italy/08_18,0,1,1
camisas/italia/italy/09_15,0,1,1
camisas/italia/italy/10_19,0,2,2
camisas/italia/juventus/02_15,0,8,8
camisas/italia/juventus/02_22,0,1,1
camisas/italia/juventus/03_17,0,6,6
camisas/italia/juventus/03_20,0,5,5
camisas/italia/juventus/04_14,0,2,2
camisas/italia/juventus/04_16,0,1,1
camisas/italia/juventus/06_18_2,0,3,3
camisas/italia/juventus/07_13,0,2,2
camisas/italia/juventus/07_17,0,1,1
camisas/italia/juventus/08_14,0,1,1
camisas/italia/juventus/08_17,0,2,2
camisas/italia/juventus/08_18_3,0,2,2
camisas/italia/juventus/09_15,0,1,1
camisas/italia/juventus/09_23,0,13,13
camisas/italia/juventus/09_23_2,0,9,9
camisas/italia/juventus/09_24_2,0,2,2
camisas/italia/juventus/11_22,0,1,1
camisas/italia/juventus/11_23,0,5,5
camisas/italia/juventus/12_17,0,1,1
camisas/italia/juventus/50-60,0,1,1
camisas/italia/lazio/02_13,0,1,1
camisas/italia/lazio/08_22,0,1,1
camisas/italia/milan/07_18,0,1,1
camisas/italia/milan/07_19,0,1,1
camisas/italia/milan/09_23,0,4,4
camisas/italia/napoli/03_15,0,1,1
camisas/italia/napoli/03_17,0,1,1
camisas/italia/napoli/03_25,0,2,2
camisas/italia/napoli/05_09,0,1,1
camisas/italia/napoli/05_24,0,2,2
camisas/italia/napoli/06_18,0,1,1
camisas/italia/napoli/09_24,0,1,1
camisas/italia/napoli/10_13,0,3,3
camisas/italia/novara/08_17,0,2,2
camisas/italia/parma/07_17,0,1,1
camisas/italia/roma/02_17,0,1,1
camisas/italia/roma/02_25,0,1,1
camisas/italia/roma/03_23,0,1,1
camisas/italia/roma/07_18,0,2,2
camisas/italia/sampdoria/05_24,0,1,1
camisas/italia/torino/02_16,0,3,3
camisas/italia/torino/02_17,0,8,8
camisas/italia/torino/02_22,0,1,1
camisas/italia/torino/03_15_2,0,1,1
camisas/italia/torino/03_19,0,12,12
camisas/italia/torino/03_19_2,0,8,8
camisas/italia/torino/03_20,0,15,15
camisas/italia/torino/03_25,0,1,1
camisas/italia/torino/04_15,0,1,1
camisas/italia/torino/04_20,0,1,1
camisas/italia/torino/05_23,0,6,6
camisas/italia/torino/05_24,0,2,2
camisas/italia/torino/06_23,0,2,2
camisas/italia/torino/07_13,0,5,5
camisas/italia/torino/07_13_2,0,14,14
camisas/italia/torino/07_17,0,1,1
camisas/italia/torino/07_18,0,1,1
camisas/italia/torino/08_16,0,1,1
camisas/italia/torino/08_18,0,3,3
camisas/italia/torino/08_18_2,0,2,2
camisas/italia/torino/08_18_3,0,2,2
camisas/italia/torino/09_15,0,3,3
camisas/italia/torino/09_24,0,2,2
camisas/italia/torino/10_13,0,4,4
camisas/italia/torino/10_19,0,3,3
camisas/italia/torino/11_21,0,1,1
camisas/italia/torino/11_21_2,0,8,8
camisas/italia/torino/12_17,0,1,1
camisas/italia/torino/70-80,0,2,2
camisas/italia/torino/80-90,0,2,2
camisas/italia/udinese/10_19,0,1,1
camisas/italia/verona/10_19,0,1,1
camisas/italia/vicenza/02_25,0,1,1
camisas/italia/vicenza/04_20,0,1,1
camisas/outros/cerro_uru/03_19,0,2,2
camisas/outros/mexico/03_15,0,1,1
camisas/outros/mexico/08_14,0,1,1
camisas/outros/venezuela/06_16,0,1,1
